"Wage","Associate's","Bachelor's","Doctorate","High School","Master's","None","GDP per capita","Unemployment"
85800,0,0,1,0,0,0,31435.547,12.5
116000,0,0,0,0,1,0,12578.359,5.35
82264,0,0,0,0,1,0,12578.359,5.35
82435,0,0,0,0,1,0,12518.036,3.7
105060,0,0,0,0,1,0,12578.359,5.35
78540,0,1,0,0,0,0,12578.359,5.35
167000,0,0,0,0,1,0,7634.573,7.25
85322,0,0,0,0,1,0,12578.359,5.35
122096,0,1,0,0,0,0,65504.595,3.7
85000,0,0,0,0,1,0,1555.709,7.35
106495,0,0,0,0,1,0,12578.359,5.35
97200,0,0,0,0,1,0,32526.65,3.7
120000,0,0,1,0,0,0,36684.4655,7.9
129500,0,0,1,0,0,0,12578.359,5.35
125000,0,0,0,0,1,0,12578.359,5.35
140000,0,0,0,0,1,0,12578.359,5.35
92700,0,0,0,0,1,0,12578.359,5.35
112500,0,1,0,0,0,0,1945.012,22.6
186000,0,0,0,0,0,1,54580.308,5.35
143936,0,0,0,0,1,0,54580.308,5.35
86010,0,1,0,0,0,0,54580.308,5.35
120578,0,0,0,0,1,0,12578.359,5.35
138118.08,0,0,0,0,1,0,32526.65,3.7
150050,0,0,0,0,1,0,12578.359,5.35
180000,0,1,0,0,0,0,12450.6815,3.05
113110,0,0,0,0,1,0,12578.359,5.35
101754,0,0,0,0,1,0,10127.2495,8.65
113200,0,0,0,0,1,0,12578.359,5.35
125000,0,1,0,0,0,0,32793.3645,2.8
113110,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
161306,0,0,1,0,0,0,12578.359,5.35
113110,0,0,0,0,1,0,12578.359,5.35
195000,0,1,0,0,0,0,54580.308,5.35
113200,0,0,0,0,1,0,12578.359,5.35
134725,0,1,0,0,0,0,12450.6815,3.05
116813,0,0,0,0,1,0,12578.359,5.35
94224,0,1,0,0,0,0,51959.3825,5.55
110000,0,0,0,0,1,0,12578.359,5.35
105000,0,0,0,0,1,0,12578.359,5.35
75795,0,0,0,0,1,0,12578.359,5.35
75795,0,0,0,0,1,0,12578.359,5.35
75795,0,0,0,0,1,0,12578.359,5.35
94952,0,0,0,0,1,0,12578.359,5.35
75795,0,0,0,0,1,0,4358.605,9
127750,0,0,0,0,1,0,12578.359,5.35
169700,0,0,0,0,1,0,12578.359,5.35
131000,0,0,0,0,1,0,12578.359,5.35
149480,0,0,0,0,1,0,12578.359,5.35
180000,0,0,1,0,0,0,12578.359,5.35
180000,0,0,1,0,0,0,32793.3645,2.8
139050,0,0,0,0,1,0,26339.295,6.35
128750,0,0,0,0,1,0,12578.359,5.35
83054,0,0,0,0,1,0,12578.359,5.35
86299,0,0,0,0,1,0,4358.605,9
151000,0,1,0,0,0,0,54580.308,5.35
153731,0,1,0,0,0,0,54580.308,5.35
84032,0,1,0,0,0,0,12578.359,5.35
105000.22,0,0,0,0,1,0,12450.6815,3.05
145000,0,1,0,0,0,0,12450.6815,3.05
89835,0,0,0,0,0,0,10127.2495,8.65
59155,0,1,0,0,0,0,32793.3645,2.8
205000,0,0,1,0,0,0,44153.444,7.35
110000,0,0,0,0,1,0,12578.359,5.35
61680,0,0,0,0,1,0,32526.65,3.7
375000,0,0,0,0,0,0,54580.308,5.35
128606,0,1,0,0,0,0,103781.341,4.4
80000,0,0,1,0,0,0,12578.359,5.35
